data_doi,data_publisher,data_title,data_publication_year,data_authors,relation_type,pub_doi,pub_title,pub_date,pub_authors,pub_type,pub_publisher,source_id
10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a,Environmental Information Data Centre (EIDC),"Land Cover Map 2021 (10m classified pixels, GB)",2022.0,"['Marston, C.', 'Rowland, C.S.', ""O'Neil, A.W."", 'Morton, R.D.']",references,https://democracy.greatermanchester-ca.gov.uk/mgConvert2PDF.aspx?ID=31629,Greater Manchester State of Nature,2024-03-04,['Greater Manchester Combined Authority'],Publication,Greater Manchester Combined Authority,overton
10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a,Environmental Information Data Centre (EIDC),"Land Cover Map 2021 (10m classified pixels, GB)",2022.0,"['Marston, C.', 'Rowland, C.S.', ""O'Neil, A.W."", 'Morton, R.D.']",references,https://democracy.greatermanchester-ca.gov.uk/documents/s31797/08a%20-%20State%20of%20Nature%20Report.pdf,Greater Manchester State of Nature,2024-03-04,['Greater Manchester Combined Authority'],Publication,Greater Manchester Combined Authority,overton
10.5285/f710bed1-e564-47bf-b82c-4c2a2fe2810e,Environmental Information Data Centre (EIDC),Historic reconstructions of daily river flow for 303 UK catchments (1891-2015),2018.0,"['Smith, K.A.', 'Tanguy, M.', 'Hannaford, J.', 'Prudhomme, C.']",references,https://www.gov.uk/government/publications/review-of-stochastic-and-other-approaches-in-water-resources-planning,Review of stochastic and other approaches in water resources planning,2025-06-06,['Environment Agency'],Publication,The UK Government,overton
10.5285/44c577d3-665f-40de-adce-74ecad7b304a,Environmental Information Data Centre (EIDC),Code and UK observation-based historical climate input data for the Rainfall and Weather GENerator (RWGEN) stochastic model,2024.0,"['Pritchard, D.']",references,https://www.gov.uk/government/publications/review-of-stochastic-and-other-approaches-in-water-resources-planning,Review of stochastic and other approaches in water resources planning,2025-06-06,['Environment Agency'],Publication,The UK Government,overton
10.5285/dbf13dd5-90cd-457a-a986-f2f9dd97e93c,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2019) [CEH-GEAR],2021.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']",references,https://www.gov.uk/government/publications/review-of-stochastic-and-other-approaches-in-water-resources-planning,Review of stochastic and other approaches in water resources planning,2025-06-06,['Environment Agency'],Publication,The UK Government,overton
10.5285/8f09b7e6-6daa-4823-b338-4edad8de1461,Environmental Information Data Centre (EIDC),Risk of Phytophthora infection in heathland fragments across Scotland,2016.0,"['Searle, K.', 'Schlenzig, A.', 'Harris, C.', 'Butler, A.', 'Purse, B.V.']",references,https://www.planthealthcentre.scot/publications/potential-ecological-and-epidemiological-models-inform-assessment-and-mitigation,The potential of ecological and epidemiological models to inform assessment and mitigation of biosecurity risks arising from large scale planting,2021-10-01,['Plant Health Centre'],Publication,Plant Health Centre,overton
10.5285/d329f4d6-95ba-4134-b77a-a377e0755653,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2012) [CHESS-PE],2015.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Finch, J.', 'Rudd, A.C.']",references,https://www.gov.uk/government/publications/document-to-inform-a-habitats-regulations-assessment-for-rostherne-mere-ramsar-site-and-midland-meres-and-mosses-phase-1-ramsar-site-ec-016-00003,Document to inform a Habitats Regulations Assessment for Rostherne Mere Ramsar site and Midland Meres and Mosses Phase 1 Ramsar site (EC-016-00003),2022-01-25,['High Speed Two (HS2) Limited'],Publication,The UK Government,overton
10.5285/d329f4d6-95ba-4134-b77a-a377e0755653,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2012) [CHESS-PE],2015.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Finch, J.', 'Rudd, A.C.']",references,https://www.gov.uk/government/publications/glossary-abbreviations-and-references,"Glossary, abbreviations and references",2022-01-24,['High Speed Two (HS2) Limited'],Publication,The UK Government,overton
10.5285/d329f4d6-95ba-4134-b77a-a377e0755653,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2012) [CHESS-PE],2015.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Finch, J.', 'Rudd, A.C.']",references,https://www.gov.uk/government/publications/water-resources-assessment-wr-003-0ma06,Water resources assessment (WR-003-0MA06),2022-01-24,['High Speed Two (HS2) Limited'],Publication,The UK Government,overton
10.5285/35c7d0e5-1121-4381-9940-75f7673c98f7,Environmental Information Data Centre (EIDC),"Land Cover Map 2020 (10m classified pixels, GB)",2021.0,"['Morton, R.D.', 'Marston, C.G.', ""O'Neil, A.W."", 'Rowland, C.S.']",references,https://www.crew.ac.uk/publication/mitigating-climate-change-phase-2,Mitigating climate change impacts on the water quality of Scottish standing waters | CREW | Scotland's Centre of Expertise for Waters,2024-03-20,['Center of Expertise for Waters'],Publication,Center of Expertise for Waters,overton
