pub_doi,source-id,relation-type-id,data_doi,data_publisher,data_title,data_publication_year,data_authors
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/f6cac471-7d92-4e6d-be8a-9f7887143058,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of daily mean river flow for gauged catchments in Great Britain: weather@home2 (climate model) driving data [MaRIUS-G2G-WAH2-daily],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/3b90962e-6fc8-4251-853e-b9683e37f790,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of monthly mean flow and soil moisture for Great Britain: weather@home2 (climate model) driving data [MaRIUS-G2G-WAH2-monthly],2018.0,"['Bell, V.A.', 'Rudd, A.C.', 'Kay, A.L.', 'Davies, H.N.']"
https://doi.org/10.1111/1365-2656.12594,datacite-crossref,is-referenced-by,10.5285/378f0f77-1842-4789-ba15-6fbdf7d02299,Environmental Information Data Centre (EIDC),United Kingdom Butterfly Monitoring Scheme: site indices data 2015,2016.0,"['Botham, M.', 'Roy, D.', 'Brereton, T.', 'Middlebrook, I.']"
https://peerj.com/manuscripts/29426,datacite-url,is-referenced-by,10.5285/4e36cdfa-0281-423f-99a8-e7c331b2e0d1,Environmental Information Data Centre (EIDC),"Plant biodiversity data and environmental and spatial data from Jebel Ichkeul, a limestone mountain in northern Tunisia (1983)",2019.0,"['Kirk, D.A.', 'Hébert, K.', 'Goldsmith, F. B.']"
https://doi.org/10.1016/j.ecolind.2015.11.004,datacite-crossref,is-referenced-by,10.5285/2ab0b6d8-6558-46cf-9cf0-1e46b3587f13,Environmental Information Data Centre (EIDC),"Land Cover Map 2007 (vector, GB) v1.2",2014.0,"['Morton, R.D.', 'Rowland, C.S.', 'Wood, C.M.', 'Meek, L.', 'Marston, C.G.', 'Smith, G.M.']"
https://doi.org/10.1002/2017wr020827,datacite-crossref,is-referenced-by,10.5285/5f2e06df-d141-4549-95b6-6a56300fc790,Environmental Information Data Centre (EIDC),Mathematically modelled daily water saturation profiles for sites on the Namoi River floodplain in south-east Australia at different distances from the river,2018.0,"['Evans, C.M.', 'Dritschel, D.G.', 'Singer, M.B.']"
https://doi.org/10.1002/lno.10512,datacite-crossref,is-referenced-by,10.5285/8616c1a0-6c6d-441c-9b10-8464dc4ee346,Environmental Information Data Centre (EIDC),"Organic carbon burial calculation using sediment trap and sediment core records from Rostherne Mere, Cheshire, UK (1360-2016)",2018.0,"['Radbourne, A.R.', 'Ryves, D.B.', 'Anderson, N.J.', 'Scott, D.R.']"
https://doi.org/10.1111/1365-2656.12489,datacite-crossref,is-referenced-by,10.5285/813e07dd-2135-49bc-93c6-83999e442b36,Environmental Information Data Centre (EIDC),Pike survival data 1953-1990,2013.0,"['Winfield, I.J.', 'Fletcher, J.M.', 'James, J.B.']"
https://doi.org/10.1111/1365-2656.12519,datacite-crossref,is-referenced-by,10.5285/c8c3f4ef-889b-457a-a05b-1b2214d5802c,Environmental Information Data Centre (EIDC),Coccinellidae competition,2016.0,"['Hentley, W.T', 'Brien, M.N']"
https://doi.org/10.1007/s00411-013-0493-6,datacite-crossref,is-referenced-by,10.5285/e40b53d4-6699-4557-bd55-10d196ece9ea,Environmental Information Data Centre (EIDC),Element and radionuclide concentrations in representative species of the ICRP's Reference Animals and Plants and associated soils from a forest in north-west England,2013.0,"['Barnett, C.L.', 'Beresford, N.A.', 'Walker, L.A.', 'Baxter, M.', 'Wells, C.', 'Copplestone, D.']"
https://doi.org/10.1111/1365-2656.12489,datacite-crossref,is-referenced-by,10.5285/637d60d6-1571-49af-93f7-24c1279d884d,Environmental Information Data Centre (EIDC),Pike growth data 1944-1995,2013.0,"['Winfield, I.J.', 'Fletcher, J.M.', 'James, J.B.']"
https://doi.org/10.5194/essd-10-339-2018,datacite-crossref,is-referenced-by,10.5285/782ec845-2135-4698-8881-b38823e533bf,Environmental Information Data Centre (EIDC),Spatial datasets of radionuclide contamination in the Ukrainian Chernobyl Exclusion Zone,2017.0,"['Kashparov, V.', 'Levchuk, S.', 'Zhurba, M.', 'Protsak, V.', 'Khomutinin, Yu.', 'Beresford, N.A.', 'Chaplow, J.S.']"
https://doi.org/10.5194/essd-10-339-2018,datacite-crossref,is-referenced-by,10.5285/d0a6a8bf-68f0-4935-8b43-4e597c3bf251,Environmental Information Data Centre (EIDC),"Post Chernobyl surveys of radiocaesium in soil, vegetation, wildlife and fungi in Great Britain",2015.0,"['Chaplow, J.S.', 'Beresford, Nick A.', 'Barnett, C.L.']"
https://doi.org/10.1002/esp.4005,datacite-crossref,is-referenced-by,10.5285/1d78e01a-a9c1-4371-8482-1c1b57d9661f,Environmental Information Data Centre (EIDC),"Land Cover Map 2007 (vector, GB)",2011.0,"['Morton, R.D.', 'Rowland, C.', 'Wood, C.', 'Meek, L.', 'Marston, G.', 'Smith, G.', 'Wadsworth, R.', 'Simpson, I.']"
https://doi.org/10.1016/j.jenvrad.2011.12.008,datacite-crossref,is-referenced-by,10.5285/1a91c7d1-ec44-4858-9af2-98d80f169bbd,Environmental Information Data Centre (EIDC),Observations of Fukushima fallout in Great Britain,2011.0,"['Beresford, N.A.', 'Barnett, C.L.', 'Howard, B.J.', 'Howard, D.C.', 'Tyler, A.N.', 'Bradley, S.', 'Copplestone, D.']"
https://doi.org/10.1016/j.jenvrad.2015.08.018,datacite-crossref,is-referenced-by,10.5285/1a91c7d1-ec44-4858-9af2-98d80f169bbd,Environmental Information Data Centre (EIDC),Observations of Fukushima fallout in Great Britain,2011.0,"['Beresford, N.A.', 'Barnett, C.L.', 'Howard, B.J.', 'Howard, D.C.', 'Tyler, A.N.', 'Bradley, S.', 'Copplestone, D.']"
https://doi.org/10.1007/s10750-015-2181-9,datacite-crossref,is-referenced-by,10.5285/bad1514f-119e-44a4-8e1e-442735bb9797,Environmental Information Data Centre (EIDC),Future flows climate data,2012.0,"['Prudhomme, C.', 'Dadson, S.', 'Morris, D.', 'Williamson, J.', 'Goodsell, G.', 'Crooks, S.', 'Boolee, L.', 'Davies, H.', 'Buys, G.', 'Lafon, T.']"
https://doi.org/10.1038/hdy.2012.52,datacite-crossref,is-referenced-by,10.5285/de1f9a43-dd0d-428c-af7b-2dfdfc8c127a,Environmental Information Data Centre (EIDC),Chloroplast DNA marker data for Acacia senegal,2012.0,"['Odee, D.', 'Telford, A.', 'Wilson, J.', 'Gaye, A.', 'Cavers, S.']"
